<<<<<<< HEAD
Node Number,Node Name,Node Type,vehicle direction,X coordinate,Y coordinate,Neighbor Nodes,Neighbor Nodes2, Pair Type, Cam Type
222,H.1.14,Intermediate ,westside,660,298,H.1.13,,,
223,H.1.15,Intermediate ,westside,690,298,H.1.14,,,
224,H.1.16,Intermediate ,westside,720,298,H.1.15,,,
225,H.1.17,Intermediate ,westside,750,298,H.1.16,,,
226,H.1.18,Intermediate ,westside,780,298,H.1.17,,,
227,H.1.19,Entry,westside,810,298,H.1.18,,,
228,H.2.1,Exit,westside,4,322,,,,
229,H.2.2,Intermediate ,westside,34,322,H.2.1,,,
230,H.2.3,Intermediate ,westside,64,322,H.2.2,,,
231,H.2.4,Intermediate ,westside,94,322,H.2.3,,,
232,H.2.5,Intermediate ,westside,124,322,H.2.4,,,
233,H.2.6,Intermediate ,westside,154,322,H.2.5,,,
234,H.2.7,Intermediate ,westside,184,322,H.2.6,,,
235,H.2.8,Turning_Lanes,westside,351,322,M.1.6,,D,4
236,H.2.9,Intermediate ,westside,381,322,H.2.8,,,
237,H.2.10,Intermediate ,westside,411,322,H.2.9,,,
238,H.2.11,Intermediate ,westside,441,322,H.2.10,,,
239,H.2.12,Intermediate ,westside,471,322,H.2.11,,,
240,H.2.13,Turning_Lanes,westside,630,322,M.2.6,,H,12
241,H.2.14,Intermediate ,westside,660,322,H.2.13,,,
242,H.2.15,Intermediate ,westside,690,322,H.2.14,,,
243,H.2.16,Intermediate ,westside,720,322,H.2.15,,,
244,H.2.17,Intermediate ,westside,750,322,H.2.16,,,
245,H.2.18,Intermediate ,westside,780,322,H.2.17,,,
246,H.2.19,Entry,westside,810,322,H.2.18,,,
247,H.3.1,Entry,eastside,4,347,H.3.2,,,
248,H.3.2,Intermediate ,eastside,34,347,H.3.3,,,
249,H.3.3,Intermediate ,eastside,64,347,H.3.4,,,
250,H.3.4,Intermediate ,eastside,94,347,H.3.5,,,
251,H.3.5,Intermediate ,eastside,124,347,H.3.6,,,
252,H.3.6,Intermediate ,eastside,154,347,H.3.7,,,
253,H.3.7,Turning_Lanes,eastside,184,347,M.1.11,,D,8
254,H.3.8,Intermediate ,eastside,351,347,H.3.9,,,
255,H.3.9,Intermediate ,eastside,381,347,H.3.10,,,
256,H.3.10,Intermediate ,eastside,411,347,H.3.11,,,
257,H.3.11,Intermediate ,eastside,441,347,H.3.12,,,
258,H.3.12,Turning_Lanes,eastside,471,347,M.2.11,,H,16
259,H.3.13,Intermediate ,eastside,630,347,H.3.14,,,
260,H.3.14,Intermediate ,eastside,660,347,H.3.15,,,
261,H.3.15,Intermediate ,eastside,690,347,H.3.16,,,
262,H.3.16,Intermediate ,eastside,720,347,H.3.17,,,
263,H.3.17,Intermediate ,eastside,750,347,H.3.18,,,
264,H.3.18,Intermediate ,eastside,780,347,H.3.19,,,
265,H.3.19,Exit,eastside,810,347,,,,
266,H.4.1,Entry,eastside,4,370,H.4.2,,,
267,H.4.2,Intermediate ,eastside,34,370,H.4.3,,,
268,H.4.3,Intermediate ,eastside,64,370,H.4.4,,,
269,H.4.4,Intermediate ,eastside,94,370,H.4.5,,,
270,H.4.5,Intermediate ,eastside,124,370,H.4.6,,,
271,H.4.6,Intermediate ,eastside,154,370,H.4.7,,,
272,H.4.7,Traffic_Controller,eastside,184,370,M.1.13,M.1.19,C,7
273,H.4.8,Intermediate ,eastside,351,370,H.4.9,,,
274,H.4.9,Intermediate ,eastside,381,370,H.4.10,,,
275,H.4.10,Intermediate ,eastside,411,370,H.4.11,,,
276,H.4.11,Intermediate ,eastside,441,370,H.4.12,,,
277,H.4.12,Traffic_Controller,eastside,471,370,M.2.13,M.2.19,G,15
278,H.4.13,Intermediate ,eastside,630,370,H.4.14,,,
279,H.4.14,Intermediate ,eastside,660,370,H.4.15,,,
280,H.4.15,Intermediate ,eastside,690,370,H.4.16,,,
281,H.4.16,Intermediate ,eastside,720,370,H.4.17,,,
282,H.4.17,Intermediate ,eastside,750,370,H.4.18,,,
283,H.4.18,Intermediate ,eastside,780,370,H.4.19,,,
284,H.4.19,Exit,eastside,810,370,,,,
285,H.5.1,Exit,westside,4,632,,,,
286,H.5.2,Intermediate ,westside,34,632,H.5.1,,,
287,H.5.3,Intermediate ,westside,64,632,H.5.2,,,
288,H.5.4,Intermediate ,westside,94,632,H.5.3,,,
289,H.5.5,Intermediate ,westside,124,632,H.5.4,,,
290,H.5.6,Intermediate ,westside,154,632,H.5.5,,,
291,H.5.7,Intermediate ,westside,184,632,H.5.6,,,
292,H.5.8,Traffic_Controller,westside,351,632,M.3.4,M.3.18,K,19
293,H.5.9,Intermediate ,westside,381,632,H.5.8,,,
294,H.5.10,Intermediate ,westside,411,632,H.5.9,,,
295,H.5.11,Intermediate ,westside,441,632,H.5.10,,,
296,H.5.12,Intermediate ,westside,471,632,H.5.11,,,
297,H.5.13,Traffic_Controller,westside,630,632,M.4.4,M.4.18,O,27
298,H.5.14,Intermediate ,westside,660,632,H.5.13,,,
299,H.5.15,Intermediate ,westside,690,632,H.5.14,,,
300,H.5.16,Intermediate ,westside,720,632,H.5.15,,,
301,H.5.17,Intermediate ,westside,750,632,H.5.16,,,
302,H.5.18,Intermediate ,westside,780,632,H.5.17,,,
303,H.5.19,Entry,westside,810,632,H.5.18,,,
304,H.6.1,Exit,westside,4,657,,,,
305,H.6.2,Intermediate ,westside,34,657,H.6.1,,,
306,H.6.3,Intermediate ,westside,64,657,H.6.2,,,
307,H.6.4,Intermediate ,westside,94,657,H.6.3,,,
308,H.6.5,Intermediate ,westside,124,657,H.6.4,,,
309,H.6.6,Intermediate ,westside,154,657,H.6.5,,,
310,H.6.7,Intermediate ,westside,184,657,H.6.6,,,
311,H.6.8,Turning_Lanes,westside,351,657,M.3.6,,L,20
312,H.6.9,Intermediate ,westside,381,657,H.6.8,,,
313,H.6.10,Intermediate ,westside,411,657,H.6.9,,,
314,H.6.11,Intermediate ,westside,441,657,H.6.10,,,
315,H.6.12,Intermediate ,westside,471,657,H.6.11,,,
316,H.6.13,Turning_Lanes,westside,630,657,M.4.6,,P,28
317,H.6.14,Intermediate ,westside,660,657,H.6.13,,,
318,H.6.15,Intermediate ,westside,690,657,H.6.14,,,
319,H.6.16,Intermediate ,westside,720,657,H.6.15,,,
320,H.6.17,Intermediate ,westside,750,657,H.6.16,,,
321,H.6.18,Intermediate ,westside,780,657,H.6.17,,,
322,H.6.19,Entry,westside,810,657,H.6.18,,,
323,H.7.1,Entry,eastside,4,682,H.7.2,,,
324,H.7.2,Intermediate ,eastside,34,682,H.7.3,,,
325,H.7.3,Intermediate ,eastside,64,682,H.7.4,,,
326,H.7.4,Intermediate ,eastside,94,682,H.7.5,,,
327,H.7.5,Intermediate ,eastside,124,682,H.7.6,,,
328,H.7.6,Intermediate ,eastside,154,682,H.7.7,,,
329,H.7.7,Turning_Lanes,eastside,184,682,M.3.11,,L,24
330,H.7.8,Intermediate ,eastside,351,682,H.7.9,,,
331,H.7.9,Intermediate ,eastside,381,682,H.7.10,,,
332,H.7.10,Intermediate ,eastside,411,682,H.7.11,,,
333,H.7.11,Intermediate ,eastside,441,682,H.7.12,,,
334,H.7.12,Turning_Lanes,eastside,471,682,M.4.11,,P,32
335,H.7.13,Intermediate ,eastside,630,682,H.7.14,,,
336,H.7.14,Intermediate ,eastside,660,682,H.7.15,,,
337,H.7.15,Intermediate ,eastside,690,682,H.7.16,,,
338,H.7.16,Intermediate ,eastside,720,682,H.7.17,,,
339,H.7.17,Intermediate ,eastside,750,682,H.7.18,,,
340,H.7.18,Intermediate ,eastside,780,682,H.7.19,,,
341,H.7.19,Exit,eastside,810,682,,,,
342,H.8.1,Entry,eastside,4,707,H.8.2,,,
343,H.8.2,Intermediate ,eastside,34,707,H.8.3,,,
344,H.8.3,Intermediate ,eastside,64,707,H.8.4,,,
345,H.8.4,Intermediate ,eastside,94,707,H.8.5,,,
346,H.8.5,Intermediate ,eastside,124,707,H.8.6,,,
347,H.8.6,Intermediate ,eastside,154,707,H.8.7,,,
348,H.8.7,Traffic_Controller,eastside,184,707,M.3.13,M.3.19,K,23
349,H.8.8,Intermediate ,eastside,351,707,H.8.9,,,
350,H.8.9,Intermediate ,eastside,381,707,H.8.10,,,
351,H.8.10,Intermediate ,eastside,411,707,H.8.11,,,
352,H.8.11,Intermediate ,eastside,441,707,H.8.12,,,
353,H.8.12,Traffic_Controller,eastside,471,707,M.4.13,M.4.19,O,31
354,H.8.13,Intermediate ,eastside,630,707,H.8.14,,,
355,H.8.14,Intermediate ,eastside,660,707,H.8.15,,,
356,H.8.15,Intermediate ,eastside,690,707,H.8.16,,,
357,H.8.16,Intermediate ,eastside,720,707,H.8.17,,,
358,H.8.17,Intermediate ,eastside,750,707,H.8.18,,,
359,H.8.18,Intermediate ,eastside,780,707,H.8.19,,,
360,H.8.19,Exit,eastside,810,707,,,,
361,M.1.1,Middle,southside,224,298,M.1.5,,,
362,M.1.2,Middle,westside,251,298,H.1.7,,,
363,M.1.3,Middle,westside,281,298,M.1.2,,,
364,M.1.4,Middle,westside,307,298,M.1.3,,,
365,M.1.5,Middle,southside,224,322,M.1.9,,,
366,M.1.6,Middle,southside,251,322,M.1.9,V.2.10,,
367,M.1.7,Middle,westside,281,322,M.1.2,H.2.7,,
368,M.1.8,Middle,northside,307,322,V.4.9,,,
369,M.1.9,Middle,southside,224,347,V.1.10,,,
370,M.1.10,Middle,eastside,251,347,H.3.8,M.1.15,,
371,M.1.11,Middle,northside,281,347,M.1.8,V.3.9,,
372,M.1.12,Middle,northside,307,347,M.1.8,,,
373,M.1.13,Middle,eastside,224,370,M.1.14,,,
374,M.1.14,Middle,eastside,251,370,M.1.15,,,
375,M.1.15,Middle,eastside,281,370,H.4.8,,,
,M.1.17,Middle,westside,224,298,H.1.7,,,
,M.1.18,Middle,northside,307,298,V.4.9,,,
,M.1.19,Middle,southside,224,370,V.1.10,,,
,M.1.20,Middle,eastside,307,370,H.4.8,,,
376,M.1.16,Middle,northside,307,370,M.1.12,,,
377,M.2.1,Middle,southside,518,298,M.2.5,,,
378,M.2.2,Middle,westside,545,298,H.1.12,,,
379,M.2.3,Middle,westside,575,298,M.2.2,,,
380,M.2.4,Middle,westside,602,298,M.2.3,,,
381,M.2.5,Middle,southside,518,322,M.2.9,,,
382,M.2.6,Middle,southside,545,322,M.2.9,V.6.10,,
383,M.2.7,Middle,westside,575,322,M.2.2,H.2.12,,
384,M.2.8,Middle,northside,602,322,V.8.9,,,
385,M.2.9,Middle,southside,518,347,V.5.10,,,
386,M.2.10,Middle,eastside,545,347,H.3.13,M.2.15,,
387,M.2.11,Middle,northside,575,347,M.2.8,V.7.9,,
388,M.2.12,Middle,northside,602,347,M.2.8,,,
389,M.2.13,Middle,eastside,518,370,M.2.14,,,
390,M.2.14,Middle,eastside,545,370,M.2.15,,,
391,M.2.15,Middle,eastside,575,370,H.4.13,,,
,M.2.17,Middle,westside,518,298,H.1.12,,,
,M.2.18,Middle,northside,602,298,V.8.9,,,
,M.2.19,Middle,southside,518,370,V.5.10,,,
,M.2.20,Middle,eastside,602,370,H.4.13,,,
392,M.2.16,Middle,northside,602,370,M.2.12,,,
393,M.3.1,Middle,southside,224,632,M.3.5,,,
394,M.3.2,Middle,westside,251,632,H.5.7,,,
395,M.3.3,Middle,westside,281,632,M.3.2,,,
396,M.3.4,Middle,westside,307,632,M.3.3,,,
397,M.3.5,Middle,southside,224,657,M.3.9,,,
398,M.3.6,Middle,southside,251,657,M.3.9,V.2.17,,
399,M.3.7,Middle,westside,281,657,M.3.2,H.6.7,,
400,M.3.8,Middle,northside,307,657,V.4.16,,,
401,M.3.9,Middle,southside,224,682,V.1.17,,,
402,M.3.10,Middle,eastside,251,682,H.7.8,M.3.15,,
403,M.3.11,Middle,northside,281,682,M.3.8,V.3.16,,
404,M.3.12,Middle,northside,307,682,M.3.8,,,
405,M.3.13,Middle,eastside,224,707,M.3.14,,,
406,M.3.14,Middle,eastside,251,707,M.3.15,,,
407,M.3.15,Middle,eastside,281,707,H.8.8,,,
,M.3.17,Middle,westside,224,632,H.5.7,,,
,M.3.18,Middle,northside,307,632,V.4.16,,,
,M.3.19,Middle,southside,224,707,V.1.17,,,
,M.3.20,Middle,eastside,307,707,H.8.8,,,
408,M.3.16,Middle,northside,307,707,M.3.12,,,
409,M.4.1,Middle,southside,518,632,M.4.5,,,
410,M.4.2,Middle,westside,545,632,H.5.12,,,
411,M.4.3,Middle,westside,575,632,M.4.2,,,
412,M.4.4,Middle,westside,602,632,M.4.3,,,
413,M.4.5,Middle,southside,518,657,M.4.9,,,
414,M.4.6,Middle,southside,545,657,M.4.9,V.6.17,,
415,M.4.7,Middle,westside,575,657,M.4.2,H.6.12,,
416,M.4.8,Middle,northside,602,657,V.8.16,,,
417,M.4.9,Middle,southside,518,682,V.5.17,,,
418,M.4.10,Middle,eastside,545,682,H.7.13,M.4.15,,
419,M.4.11,Middle,northside,575,682,M.4.8,V.7.16,,
420,M.4.12,Middle,northside,602,682,M.4.8,,,
421,M.4.13,Middle,eastside,518,707,M.4.14,,,
422,M.4.14,Middle,eastside,545,707,M.4.15,,,
423,M.4.15,Middle,eastside,575,707,H.8.13,,,
,M.4.17,Middle,westside,518,632,H.5.12,,,
,M.4.18,Middle,northside,602,632,V.8.16,,,
,M.4.19,Middle,southside,518,707,V.5.17,,,
,M.4.20,Middle,eastside,602,707,H.8.13,,,
424,M.4.16,Middle,northside,602,707,M.4.12,,,
=======
Node Number,Node Name,Node Type,vehicle direction,X coordinate,Y coordinate,Neighbor Nodes,Neighbor Nodes2
1,V.1.1,Entry,southside,224,17,V.1.2,
2,V.1.2,Intermediate ,southside,224,47,V.1.3,
3,V.1.3,Intermediate ,southside,224,77,V.1.4,
4,V.1.4,Intermediate ,southside,224,107,V.1.5,
5,V.1.5,Intermediate ,southside,224,137,V.1.6,
6,V.1.6,Intermediate ,southside,224,167,V.1.7,
