Node Number,Node Name,Node Type,vehicle direction,X coordinate,Y coordinate,Neighbor Nodes,Neighbor Nodes2
136,Y.6.6,Intermediate ,southside,1375,167,Y.6.7,
137,Y.6.7,Intermediate ,southside,1375,197,Y.6.8,
138,Y.6.8,Intermediate ,southside,1375,227,Y.6.9,
139,Y.6.9,Turning_Lanes,southside,1375,257,C.2.10,
140,Y.6.10,Intermediate ,southside,1375,411,Y.6.11,
141,Y.6.11,Intermediate ,southside,1375,441,Y.6.12,
142,Y.6.12,Intermediate ,southside,1375,471,Y.6.13,
143,Y.6.13,Intermediate ,southside,1375,501,Y.6.14,
144,Y.6.14,Intermediate ,southside,1375,531,Y.6.15,
145,Y.6.15,Intermediate ,southside,1375,561,Y.6.16,
146,Y.6.16,Turning_Lanes,southside,1375,591,C.4.10,
147,Y.6.17,Intermediate ,southside,1375,747,Y.6.18,
148,Y.6.18,Intermediate ,southside,1375,777,Y.6.19,
149,Y.6.19,Intermediate ,southside,1375,807,Y.6.20,
150,Y.6.20,Intermediate ,southside,1375,837,Y.6.21,
151,Y.6.21,Intermediate ,southside,1375,867,Y.6.22,
152,Y.6.22,Intermediate ,southside,1375,897,Y.6.23,
153,Y.6.23,Intermediate ,southside,1375,927,Y.6.24,
154,Y.6.24,Intermediate ,southside,1375,957,Y.6.25,
155,Y.6.25,Intermediate ,southside,1375,987,Y.6.26,
156,Y.6.26,Exit,southside,1375,1017,,
157,Y.7.1,Exit,northside,1405,17,,
158,Y.7.2,Intermediate ,northside,1405,47,Y.7.1,
159,Y.7.3,Intermediate ,northside,1405,77,Y.7.2,
160,Y.7.4,Intermediate ,northside,1405,107,Y.7.3,
161,Y.7.5,Intermediate ,northside,1405,137,Y.7.4,
162,Y.7.6,Intermediate ,northside,1405,167,Y.7.5,
163,Y.7.7,Intermediate ,northside,1405,197,Y.7.6,
164,Y.7.8,Intermediate ,northside,1405,227,Y.7.7,
165,Y.7.9,Intermediate ,northside,1405,257,Y.7.8,
166,Y.7.10,Turning_Lanes,northside,1405,411,C.2.7,
167,Y.7.11,Intermediate ,northside,1405,441,Y.7.10,
168,Y.7.12,Intermediate ,northside,1405,471,Y.7.11,
169,Y.7.13,Intermediate ,northside,1405,501,Y.7.12,
170,Y.7.14,Intermediate ,northside,1405,531,Y.7.13,
171,Y.7.15,Intermediate ,northside,1405,561,Y.7.14,
172,Y.7.16,Intermediate ,northside,1405,591,Y.7.15,
173,Y.7.17,Turning_Lanes ,northside,1405,747,C.4.7,
174,Y.7.18,Intermediate ,northside,1405,777,Y.7.17,
175,Y.7.19,Intermediate ,northside,1405,807,Y.7.18,
176,Y.7.20,Intermediate ,northside,1405,837,Y.7.19,
177,Y.7.21,Intermediate ,northside,1405,867,Y.7.20,
178,Y.7.22,Intermediate ,northside,1405,897,Y.7.21,
179,Y.7.23,Intermediate ,northside,1405,927,Y.7.22,
180,Y.7.24,Intermediate ,northside,1405,957,Y.7.23,
181,Y.7.25,Intermediate ,northside,1405,987,Y.7.24,
182,Y.7.26,Entry,northside,1405,1017,Y.7.25,
183,Y.8.1,Exit,northside,1432,17,,
184,Y.8.2,Intermediate ,northside,1432,47,Y.8.1,
185,Y.8.3,Intermediate ,northside,1432,77,Y.8.2,
186,Y.8.4,Intermediate ,northside,1432,107,Y.8.3,
187,Y.8.5,Intermediate ,northside,1432,137,Y.8.4,
188,Y.8.6,Intermediate ,northside,1432,167,Y.8.5,
189,Y.8.7,Intermediate ,northside,1432,197,Y.8.6,
190,Y.8.8,Intermediate ,northside,1432,227,Y.8.7,
191,Y.8.9,Intermediate ,northside,1432,257,Y.8.8,
192,Y.8.10,Traffic_Controller,northside,1432,411,C.2.16,C.2.20
193,Y.8.11,Intermediate ,northside,1432,441,Y.8.10,
194,Y.8.12,Intermediate ,northside,1432,471,Y.8.11,
195,Y.8.13,Intermediate ,northside,1432,501,Y.8.12,
196,Y.8.14,Intermediate ,northside,1432,531,Y.8.13,
197,Y.8.15,Intermediate ,northside,1432,561,Y.8.14,
198,Y.8.16,Intermediate ,northside,1432,591,Y.8.15,
199,Y.8.17,Traffic_Controller,northside,1432,747,C.4.16,C.4.20
200,Y.8.18,Intermediate ,northside,1432,777,Y.8.17,
201,Y.8.19,Intermediate ,northside,1432,807,Y.8.18,
202,Y.8.20,Intermediate ,northside,1432,837,Y.8.19,
203,Y.8.21,Intermediate ,northside,1432,867,Y.8.20,
204,Y.8.22,Intermediate ,northside,1432,897,Y.8.21,
205,Y.8.23,Intermediate ,northside,1432,927,Y.8.22,
206,Y.8.24,Intermediate ,northside,1432,957,Y.8.23,
207,Y.8.25,Intermediate ,northside,1432,987,Y.8.24,
208,Y.8.26,Entry,northside,1432,1017,Y.8.25,
209,X.1.1,Exit,westside,846,298,,
210,X.1.2,Intermediate ,westside,876,298,X.1.1,
211,X.1.3,Intermediate ,westside,906,298,X.1.2,
212,X.1.4,Intermediate ,westside,936,298,X.1.3,
213,X.1.5,Intermediate ,westside,966,298,X.1.4,
214,X.1.6,Intermediate ,westside,996,298,X.1.5,
215,X.1.7,Intermediate ,westside,1026,298,X.1.6,
216,X.1.8,Traffic_Controller,westside,1181,298,C.1.4,C.1.18
217,X.1.9,Intermediate ,westside,1211,298,X.1.8,
218,X.1.10,Intermediate ,westside,1241,298,X.1.9,
219,X.1.11,Intermediate ,westside,1271,298,X.1.10,
220,X.1.12,Intermediate ,westside,1301,298,X.1.11,
221,X.1.13,Traffic_Controller,westside,1472,298,C.2.4,C.2.18
222,X.1.14,Intermediate ,westside,1502,298,X.1.13,
223,X.1.15,Intermediate ,westside,1532,298,X.1.14,
224,X.1.16,Intermediate ,westside,1562,298,X.1.15,
225,X.1.17,Intermediate ,westside,1592,298,X.1.16,
226,X.1.18,Intermediate ,westside,1622,298,X.1.17,
227,X.1.19,Entry,westside,1652,298,X.1.18,
228,X.2.1,Exit,westside,846,322,,
229,X.2.2,Intermediate ,westside,876,322,X.2.1,
230,X.2.3,Intermediate ,westside,906,322,X.2.2,
231,X.2.4,Intermediate ,westside,936,322,X.2.3,
232,X.2.5,Intermediate ,westside,966,322,X.2.4,
233,X.2.6,Intermediate ,westside,996,322,X.2.5,
234,X.2.7,Intermediate ,westside,1026,322,X.2.6,
235,X.2.8,Turning_Lanes,westside,1181,322,C.1.6,
236,X.2.9,Intermediate ,westside,1211,322,X.2.8,
237,X.2.10,Intermediate ,westside,1241,322,X.2.9,
238,X.2.11,Intermediate ,westside,1271,322,X.2.10,
239,X.2.12,Intermediate ,westside,1301,322,X.2.11,
240,X.2.13,Turning_Lanes,westside,1472,322,C.2.6,
241,X.2.14,Intermediate ,westside,1502,322,X.2.13,
242,X.2.15,Intermediate ,westside,1532,322,X.2.14,
243,X.2.16,Intermediate ,westside,1562,322,X.2.15,
244,X.2.17,Intermediate ,westside,1592,322,X.2.16,
245,X.2.18,Intermediate ,westside,1622,322,X.2.17,
246,X.2.19,Entry,westside,1652,322,X.2.18,
247,X.3.1,Entry,eastside,846,347,X.3.2,
248,X.3.2,Intermediate ,eastside,876,347,X.3.3,
249,X.3.3,Intermediate ,eastside,906,347,X.3.4,
250,X.3.4,Intermediate ,eastside,936,347,X.3.5,
251,X.3.5,Intermediate ,eastside,966,347,X.3.6,
252,X.3.6,Intermediate ,eastside,996,347,X.3.7,
253,X.3.7,Turning_Lanes,eastside,1026,347,C.1.11,
254,X.3.8,Intermediate ,eastside,1181,347,X.3.9,
255,X.3.9,Intermediate ,eastside,1211,347,X.3.10,
256,X.3.10,Intermediate ,eastside,1241,347,X.3.11,
257,X.3.11,Intermediate ,eastside,1271,347,X.3.12,
258,X.3.12,Turning_Lanes,eastside,1301,347,C.2.11,
259,X.3.13,Intermediate ,eastside,1472,347,X.3.14,
260,X.3.14,Intermediate ,eastside,1502,347,X.3.15,
261,X.3.15,Intermediate ,eastside,1532,347,X.3.16,
262,X.3.16,Intermediate ,eastside,1562,347,X.3.17,
263,X.3.17,Intermediate ,eastside,1592,347,X.3.18,
264,X.3.18,Intermediate ,eastside,1622,347,X.3.19,
265,X.3.19,Exit,eastside,1652,347,,
266,X.4.1,Entry,eastside,846,370,X.4.2,
267,X.4.2,Intermediate ,eastside,876,370,X.4.3,
268,X.4.3,Intermediate ,eastside,906,370,X.4.4,
269,X.4.4,Intermediate ,eastside,936,370,X.4.5,
270,X.4.5,Intermediate ,eastside,966,370,X.4.6,
271,X.4.6,Intermediate ,eastside,996,370,X.4.7,
272,X.4.7,Traffic_Controller,eastside,1026,370,C.1.13,C.1.19
273,X.4.8,Intermediate ,eastside,1181,370,X.4.9,
274,X.4.9,Intermediate ,eastside,1211,370,X.4.10,
275,X.4.10,Intermediate ,eastside,1241,370,X.4.11,
276,X.4.11,Intermediate ,eastside,1271,370,X.4.12,
277,X.4.12,Traffic_Controller,eastside,1301,370,C.2.13,C.2.19
278,X.4.13,Intermediate ,eastside,1472,370,X.4.14,
279,X.4.14,Intermediate ,eastside,1502,370,X.4.15,
280,X.4.15,Intermediate ,eastside,1532,370,X.4.16,
281,X.4.16,Intermediate ,eastside,1562,370,X.4.17,
282,X.4.17,Intermediate ,eastside,1592,370,X.4.18,
283,X.4.18,Intermediate ,eastside,1622,370,X.4.19,
284,X.4.19,Exit,eastside,1652,370,,
285,X.5.1,Exit,westside,846,632,,
286,X.5.2,Intermediate ,westside,876,632,X.5.1,
287,X.5.3,Intermediate ,westside,906,632,X.5.2,
288,X.5.4,Intermediate ,westside,936,632,X.5.3,
289,X.5.5,Intermediate ,westside,966,632,X.5.4,
290,X.5.6,Intermediate ,westside,996,632,X.5.5,
291,X.5.7,Intermediate ,westside,1026,632,X.5.6,
292,X.5.8,Traffic_Controller,westside,1181,632,C.3.4,C.3.18
293,X.5.9,Intermediate ,westside,1211,632,X.5.8,
294,X.5.10,Intermediate ,westside,1241,632,X.5.9,
295,X.5.11,Intermediate ,westside,1271,632,X.5.10,
296,X.5.12,Intermediate ,westside,1301,632,X.5.11,
297,X.5.13,Traffic_Controller,westside,1472,632,C.4.4,C.4.18
298,X.5.14,Intermediate ,westside,1502,632,X.5.13,
299,X.5.15,Intermediate ,westside,1532,632,X.5.14,
300,X.5.16,Intermediate ,westside,1562,632,X.5.15,
301,X.5.17,Intermediate ,westside,1592,632,X.5.16,
302,X.5.18,Intermediate ,westside,1622,632,X.5.17,
303,X.5.19,Entry,westside,1652,632,X.5.18,
304,X.6.1,Exit,westside,846,657,,
305,X.6.2,Intermediate ,westside,876,657,X.6.1,
306,X.6.3,Intermediate ,westside,906,657,X.6.2,
307,X.6.4,Intermediate ,westside,936,657,X.6.3,
308,X.6.5,Intermediate ,westside,966,657,X.6.4,
309,X.6.6,Intermediate ,westside,996,657,X.6.5,
310,X.6.7,Intermediate ,westside,1026,657,X.6.6,
311,X.6.8,Turning_Lanes,westside,1181,657,C.3.6,
312,X.6.9,Intermediate ,westside,1211,657,X.6.8,
313,X.6.10,Intermediate ,westside,1241,657,X.6.9,
314,X.6.11,Intermediate ,westside,1271,657,X.6.10,
315,X.6.12,Intermediate ,westside,1301,657,X.6.11,
316,X.6.13,Turning_Lanes,westside,1472,657,C.4.6,
317,X.6.14,Intermediate ,westside,1502,657,X.6.13,
318,X.6.15,Intermediate ,westside,1532,657,X.6.14,
319,X.6.16,Intermediate ,westside,1562,657,X.6.15,
320,X.6.17,Intermediate ,westside,1592,657,X.6.16,
321,X.6.18,Intermediate ,westside,1622,657,X.6.17,
322,X.6.19,Entry,westside,1652,657,X.6.18,
323,X.7.1,Entry,eastside,846,682,X.7.2,
324,X.7.2,Intermediate ,eastside,876,682,X.7.3,
325,X.7.3,Intermediate ,eastside,906,682,X.7.4,
326,X.7.4,Intermediate ,eastside,936,682,X.7.5,
327,X.7.5,Intermediate ,eastside,966,682,X.7.6,
328,X.7.6,Intermediate ,eastside,996,682,X.7.7,
329,X.7.7,Turning_Lanes,eastside,1026,682,C.3.11,
330,X.7.8,Intermediate ,eastside,1181,682,X.7.9,
331,X.7.9,Intermediate ,eastside,1211,682,X.7.10,
332,X.7.10,Intermediate ,eastside,1241,682,X.7.11,
333,X.7.11,Intermediate ,eastside,1271,682,X.7.12,
334,X.7.12,Turning_Lanes,eastside,1301,682,C.4.11,
335,X.7.13,Intermediate ,eastside,1472,682,X.7.14,
336,X.7.14,Intermediate ,eastside,1502,682,X.7.15,
337,X.7.15,Intermediate ,eastside,1532,682,X.7.16,
338,X.7.16,Intermediate ,eastside,1562,682,X.7.17,
339,X.7.17,Intermediate ,eastside,1592,682,X.7.18,
340,X.7.18,Intermediate ,eastside,1622,682,X.7.19,
341,X.7.19,Exit,eastside,1652,682,,
342,X.8.1,Entry,eastside,846,707,X.8.2,
343,X.8.2,Intermediate ,eastside,876,707,X.8.3,
344,X.8.3,Intermediate ,eastside,906,707,X.8.4,
345,X.8.4,Intermediate ,eastside,936,707,X.8.5,
346,X.8.5,Intermediate ,eastside,966,707,X.8.6,
347,X.8.6,Intermediate ,eastside,996,707,X.8.7,
348,X.8.7,Traffic_Controller,eastside,1026,707,C.3.13,C.3.19
349,X.8.8,Intermediate ,eastside,1181,707,X.8.9,
350,X.8.9,Intermediate ,eastside,1211,707,X.8.10,
351,X.8.10,Intermediate ,eastside,1241,707,X.8.11,
352,X.8.11,Intermediate ,eastside,1271,707,X.8.12,
353,X.8.12,Traffic_Controller,eastside,1301,707,C.4.13,C.4.19
354,X.8.13,Intermediate ,eastside,1472,707,X.8.14,
355,X.8.14,Intermediate ,eastside,1502,707,X.8.15,
356,X.8.15,Intermediate ,eastside,1532,707,X.8.16,
357,X.8.16,Intermediate ,eastside,1562,707,X.8.17,
358,X.8.17,Intermediate ,eastside,1592,707,X.8.18,
359,X.8.18,Intermediate ,eastside,1622,707,X.8.19,
360,X.8.19,Exit,eastside,1652,707,,
361,C.1.1,Middle,southside,1054,298,C.1.5,
362,C.1.2,Middle,westside,1081,298,X.1.7,
363,C.1.3,Middle,westside,1111,298,C.1.2,
364,C.1.4,Middle,westside,1137,298,C.1.3,
365,C.1.5,Middle,southside,1054,322,C.1.9,
366,C.1.6,Middle,southside,1081,322,C.1.9,Y.2.10
367,C.1.7,Middle,westside,1111,322,C.1.2,X.2.7
368,C.1.8,Middle,northside,1137,322,Y.4.9,
369,C.1.9,Middle,southside,1054,347,Y.1.10,
370,C.1.10,Middle,eastside,1081,347,X.3.8,C.1.15
371,C.1.11,Middle,northside,1111,347,C.1.8,Y.3.9
372,C.1.12,Middle,northside,1137,347,C.1.8,
373,C.1.13,Middle,eastside,1054,370,C.1.14,
374,C.1.14,Middle,eastside,1081,370,C.1.15,
375,C.1.15,Middle,eastside,1111,370,X.4.8,
425,C.1.17,Middle,westside,1054,298,X.1.7,
426,C.1.18,Middle,northside,1137,298,Y.4.9,
427,C.1.19,Middle,southside,1054,370,Y.1.10,
428,C.1.20,Middle,eastside,1137,370,X.4.8,
376,C.1.16,Middle,northside,1137,370,C.1.12,
377,C.2.1,Middle,southside,1348,298,C.2.5,
378,C.2.2,Middle,westside,1375,298,X.1.12,
379,C.2.3,Middle,westside,1405,298,C.2.2,
380,C.2.4,Middle,westside,1432,298,C.2.3,
381,C.2.5,Middle,southside,1348,322,C.2.9,
382,C.2.6,Middle,southside,1375,322,C.2.9,Y.6.10
383,C.2.7,Middle,westside,1405,322,C.2.2,X.2.12
384,C.2.8,Middle,northside,1432,322,Y.8.9,
385,C.2.9,Middle,southside,1348,347,Y.5.10,
386,C.2.10,Middle,eastside,1375,347,X.3.13,C.2.15
387,C.2.11,Middle,northside,1405,347,C.2.8,Y.7.9
388,C.2.12,Middle,northside,1432,347,C.2.8,
389,C.2.13,Middle,eastside,1348,370,C.2.14,
390,C.2.14,Middle,eastside,1375,370,C.2.15,
391,C.2.15,Middle,eastside,1405,370,X.4.13,
429,C.2.17,Middle,westside,1348,298,X.1.12,
430,C.2.18,Middle,northside,1432,298,Y.8.9,
431,C.2.19,Middle,southside,1348,370,Y.5.10,
432,C.2.20,Middle,eastside,1432,370,X.4.13,
392,C.2.16,Middle,northside,1432,370,C.2.12,
393,C.3.1,Middle,southside,1054,632,C.3.5,
394,C.3.2,Middle,westside,1081,632,X.5.7,
395,C.3.3,Middle,westside,1111,632,C.3.2,
396,C.3.4,Middle,westside,1137,632,C.3.3,
397,C.3.5,Middle,southside,1054,657,C.3.9,
398,C.3.6,Middle,southside,1081,657,C.3.9,Y.2.17
399,C.3.7,Middle,westside,1111,657,C.3.2,X.6.7
400,C.3.8,Middle,northside,1137,657,Y.4.16,
401,C.3.9,Middle,southside,1054,682,Y.1.17,
402,C.3.10,Middle,eastside,1081,682,X.7.8,C.3.15
403,C.3.11,Middle,northside,1111,682,C.3.8,Y.3.16
404,C.3.12,Middle,northside,1137,682,C.3.8,
405,C.3.13,Middle,eastside,1054,707,C.3.14,
406,C.3.14,Middle,eastside,1081,707,C.3.15,
407,C.3.15,Middle,eastside,1111,707,X.8.8,
433,C.3.17,Middle,westside,1054,632,X.5.7,
434,C.3.18,Middle,northside,1137,632,Y.4.16,
435,C.3.19,Middle,southside,1054,707,Y.1.17,
436,C.3.20,Middle,eastside,1137,707,X.8.8,
408,C.3.16,Middle,northside,1137,707,C.3.12,
409,C.4.1,Middle,southside,1348,632,C.4.5,
410,C.4.2,Middle,westside,1375,632,X.5.12,
411,C.4.3,Middle,westside,1405,632,C.4.2,
412,C.4.4,Middle,westside,1432,632,C.4.3,
413,C.4.5,Middle,southside,1348,657,C.4.9,
414,C.4.6,Middle,southside,1375,657,C.4.9,Y.6.17
415,C.4.7,Middle,westside,1405,657,C.4.2,X.6.12
416,C.4.8,Middle,northside,1432,657,Y.8.16,
417,C.4.9,Middle,southside,1348,682,Y.5.17,
418,C.4.10,Middle,eastside,1375,682,X.7.13,C.4.15
419,C.4.11,Middle,northside,1405,682,C.4.8,Y.7.16
420,C.4.12,Middle,northside,1432,682,C.4.8,
421,C.4.13,Middle,eastside,1348,707,C.4.14,
422,C.4.14,Middle,eastside,1375,707,C.4.15,
423,C.4.15,Middle,eastside,1405,707,X.8.13,
437,C.4.17,Middle,westside,1348,632,X.5.12,
438,C.4.18,Middle,northside,1432,632,Y.8.16,
439,C.4.19,Middle,southside,1348,707,Y.5.17,
440,C.4.20,Middle,eastside,1432,707,X.8.13,
424,C.4.16,Middle,northside,1432,707,C.4.12,
