seed,cam1,cam2,cam3,cam4,cam5,cam6,cam7,cam8,cam9,cam10,cam11,cam12,cam13,cam14,cam15,cam16,cam17,cam18,cam19,cam20,cam21,cam22,cam23,cam24,cam25,cam26,cam27,cam28,cam29,cam30,cam31,cam32,sim_duration,avg_travel_time,vehicles_spawned,tier1,tier2,tier3,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
982835,45,45,28,0,6,33,38,3,0,3,7,19,46,44,26,30,35,48,33,43,8,44,26,20,4,21,35,49,38,23,38,42,130.79,27.86,880,0.76,0.76,0.78,4.7,4.7,3.68,2.0,2.36,3.98,4.28,2.18,2.0,2.18,2.42,3.14,4.76,4.64,3.56,3.8
433759,20,18,16,28,28,11,34,33,48,1,38,2,48,8,15,8,18,38,7,36,31,23,37,17,48,3,0,39,7,43,6,4,106.6,24.12,713,1.2,1.24,0.53,3.2,3.08,2.96,3.68,3.68,2.66,4.04,3.98,4.88,2.06,4.28,2.12,4.88,2.48,2.9,2.48
331876,16,23,23,28,33,4,37,10,45,22,20,27,17,15,1,40,26,25,47,20,28,7,20,18,46,36,50,2,15,39,2,47,94.05,25.08,789,0.91,1.43,0.62,2.96,3.38,3.38,3.68,3.98,2.24,4.22,2.6,4.7,3.32,3.2,3.62,3.02,2.9,2.06,4.4
586146,41,14,1,15,0,48,17,1,35,45,29,47,22,34,11,9,2,47,48,29,26,49,39,6,1,9,14,17,5,28,48,35,101.96,25.39,772,0.59,0.7,0.98,4.46,2.84,2.06,2.9,2.0,4.88,3.02,2.06,4.1,4.7,3.74,4.82,3.32,4.04,2.66,2.54
26383,35,5,30,20,30,47,11,2,8,18,37,3,5,34,25,44,50,19,4,39,23,28,17,24,10,24,45,3,19,28,6,42,114.42,23.24,735,0.66,1.03,0.98,4.1,2.3,3.8,3.2,3.8,4.82,2.66,2.12,2.48,3.08,4.22,2.18,2.3,4.04,3.5,4.64
68133,6,14,24,18,18,34,17,6,2,37,26,3,27,15,27,16,2,23,24,38,13,35,18,5,28,43,44,41,47,32,23,49,129.94,25.16,755,0.8,1.42,0.73,2.36,2.84,3.44,3.08,3.08,4.04,3.02,2.36,2.12,4.22,3.56,2.18,3.62,2.9,3.62,2.96
125089,18,17,5,31,16,37,11,49,40,48,6,21,1,30,50,43,14,48,31,3,23,25,18,48,50,34,17,46,22,6,46,46,98.58,29.76,900,0.63,0.75,1.08,3.08,3.02,2.3,3.86,2.96,4.22,2.66,4.94,4.4,4.88,2.36,3.26,2.06,3.8,5.0,4.58
186399,11,13,5,33,26,46,24,15,30,35,16,23,20,33,1,0,22,35,18,39,33,16,2,41,37,45,46,12,36,7,49,50,110.41,26.49,819,1.07,0.52,0.88,2.66,2.78,2.3,3.98,3.56,4.76,3.44,2.9,3.8,4.1,2.96,3.38,3.2,3.98,2.06,2.0
376972,40,36,35,48,27,12,45,24,39,37,12,35,45,7,8,42,5,46,46,41,32,15,30,13,16,21,4,7,19,37,21,45,129.54,29.03,890,0.67,0.89,0.89,4.4,4.16,4.1,4.88,3.62,2.72,4.7,3.44,4.34,4.22,2.72,4.1,4.7,2.42,2.48,4.52
715227,9,8,49,27,2,14,24,11,42,39,11,20,29,21,7,4,3,10,15,34,45,6,0,28,8,44,3,3,39,24,22,45,128.34,20.81,646,0.61,1.44,1.17,2.54,2.48,4.94,3.62,2.12,2.84,3.44,2.66,4.52,4.34,2.66,3.2,3.74,3.26,2.42,2.24
867665,1,43,29,18,29,37,43,21,40,32,47,47,29,28,41,42,31,38,43,43,6,2,0,40,16,12,35,41,13,3,27,22,151.16,29.81,899,0.75,1.48,1.2,2.06,4.58,3.74,3.08,3.74,4.22,4.58,3.26,4.4,3.92,4.82,4.82,3.74,3.68,4.46,4.52
345170,10,0,41,32,47,9,34,34,5,26,3,25,16,49,45,31,38,3,43,35,22,28,47,11,47,21,39,28,38,45,32,1,108.84,29.01,885,1.25,0.82,0.78,2.6,2.0,4.46,3.92,4.82,2.54,4.04,4.04,2.3,3.56,2.18,3.5,2.96,4.94,4.7,3.86
100579,21,15,19,21,32,44,6,0,20,50,37,2,42,21,5,23,29,13,7,45,14,48,29,45,0,3,38,45,20,29,10,13,150.08,24.96,746,0.65,0.58,0.51,3.26,2.9,3.14,3.26,3.92,4.64,2.36,2.0,3.2,5.0,4.22,2.12,4.52,3.26,2.3,3.38
890805,36,12,24,23,0,12,50,46,2,18,23,28,37,18,14,20,25,38,31,2,13,48,0,43,25,1,46,47,36,45,46,18,113.59,27.47,827,1.2,0.6,1.46,4.16,2.72,3.44,3.38,2.0,2.72,5.0,4.76,2.12,3.08,3.38,3.68,4.22,3.08,2.84,3.2
820742,37,13,16,16,19,28,50,12,30,9,23,30,5,22,43,10,16,24,33,30,47,18,34,32,49,13,28,32,27,7,30,13,126.47,26.76,796,0.76,1.0,1.35,4.22,2.78,2.96,2.96,3.14,3.68,5.0,2.72,3.8,2.54,3.38,3.8,2.3,3.32,4.58,2.6
319784,20,0,4,45,37,34,13,50,5,42,4,10,29,33,17,44,46,35,19,9,12,18,47,24,24,12,35,47,3,15,28,47,155.27,25.66,808,1.15,0.58,0.63,3.2,2.0,2.24,4.7,4.22,4.04,2.78,5.0,2.3,4.52,2.24,2.6,3.74,3.98,3.02,4.64
466949,9,29,18,46,43,7,12,19,40,19,3,40,8,0,18,25,41,18,48,26,20,44,4,4,10,2,23,44,15,16,50,38,121.39,24.92,739,1.48,1.29,1.5,2.54,3.74,3.08,4.76,4.58,2.42,2.72,3.14,4.4,3.14,2.18,4.4,2.48,2.0,3.08,3.5
139938,41,5,25,46,7,25,33,18,11,3,0,26,24,10,39,15,2,11,48,4,26,46,32,23,3,14,37,2,32,44,12,23,130.69,23.09,687,1.45,1.3,0.62,4.46,2.3,3.5,4.76,2.42,3.5,3.98,3.08,2.66,2.18,2.0,3.56,3.44,2.6,4.34,2.9
125211,31,12,28,7,21,33,5,33,11,13,17,43,15,46,41,1,1,6,24,36,18,23,33,34,9,45,43,14,24,5,21,10,95.99,22.55,703,0.86,1.04,0.63,3.86,2.72,3.68,2.42,3.26,3.98,2.3,3.98,2.66,2.78,3.02,4.58,2.9,4.76,4.46,2.06
633844,45,29,28,7,32,14,19,23,0,37,43,26,19,39,33,41,40,13,42,1,41,2,41,35,47,15,27,42,49,30,6,35,84.9,29.46,901,1.09,0.58,1.17,4.7,3.74,3.68,2.42,3.92,2.84,3.14,3.38,2.0,4.22,4.58,3.56,3.14,4.34,3.98,4.46
860509,31,19,13,8,17,16,10,48,39,50,7,34,16,2,41,4,6,12,7,27,28,10,16,21,34,13,40,19,35,31,20,23,154.25,22.28,697,1.06,1.41,0.95,3.86,3.14,2.78,2.48,3.02,2.96,2.6,4.88,4.34,5.0,2.42,4.04,2.96,2.12,4.46,2.24
159571,24,16,40,12,43,32,46,17,11,23,13,39,46,25,23,47,5,43,8,15,17,28,12,31,16,44,50,23,33,26,5,2,128.99,26.02,815,0.64,1.35,0.88,3.44,2.96,4.4,2.72,4.58,3.92,4.76,3.02,2.66,3.38,2.78,4.34,4.76,3.5,3.38,4.82
847333,14,40,37,29,30,12,34,35,14,36,12,10,37,32,26,17,34,37,9,4,43,19,5,9,31,5,27,46,50,35,20,49,117.17,27.23,838,1.01,0.7,0.62,2.84,4.4,4.22,3.74,3.8,2.72,4.04,4.1,2.84,4.16,2.72,2.6,4.22,3.92,3.56,3.02
147006,16,37,23,44,14,50,36,19,37,26,7,27,33,14,18,40,46,13,6,5,30,15,21,13,16,46,14,15,13,16,28,5,135.64,24.14,743,1.46,1.24,0.76,2.96,4.22,3.38,4.64,2.84,5.0,4.16,3.14,4.22,3.56,2.42,3.62,3.98,2.84,3.08,4.4
450210,14,29,7,50,17,48,29,31,34,49,37,13,17,39,47,40,2,48,35,8,26,14,1,30,23,46,14,23,30,0,6,43,155.03,27.25,850,1.22,0.94,0.77,2.84,3.74,2.42,5.0,3.02,4.88,3.74,3.86,4.04,4.94,4.22,2.78,3.02,4.34,4.82,4.4
657767,8,40,27,11,17,6,26,18,26,31,41,10,25,16,6,44,23,27,2,30,0,46,6,30,16,35,23,8,10,3,35,23,135.31,21.21,669,1.31,1.21,0.66,2.48,4.4,3.62,2.66,3.02,2.36,3.56,3.08,3.56,3.86,4.46,2.6,3.5,2.96,2.36,4.64
13865,30,25,2,17,37,27,9,0,8,5,42,41,9,16,41,45,1,5,31,6,6,22,8,30,9,45,38,41,33,22,14,40,150.82,23.78,705,1.24,0.78,1.47,3.8,3.5,2.12,3.02,4.22,3.62,2.54,2.0,2.48,2.3,4.52,4.46,2.54,2.96,4.46,4.7
636382,28,50,48,10,38,16,0,2,17,40,22,0,29,16,2,5,32,42,13,9,10,43,10,22,49,45,10,8,10,16,43,37,98.27,23.64,722,1.19,0.83,0.55,3.68,5.0,4.88,2.6,4.28,2.96,2.0,2.12,3.02,4.4,3.32,2.0,3.74,2.96,2.12,2.3
561057,39,50,23,4,31,25,38,50,0,14,7,21,48,26,31,47,44,34,24,26,8,1,47,14,48,45,45,41,19,50,17,9,90.65,30.62,926,0.83,1.03,1.36,4.34,5.0,3.38,2.24,3.86,3.5,4.28,5.0,2.0,2.84,2.42,3.26,4.88,3.56,3.86,4.82
161408,30,31,31,46,38,15,23,28,43,22,17,26,23,11,36,21,23,47,7,46,13,2,44,5,14,25,18,44,1,49,33,24,130.0,26.9,836,1.18,1.45,1.44,3.8,3.86,3.86,4.76,4.28,2.9,3.38,3.68,4.58,3.32,3.02,3.56,3.38,2.66,4.16,3.26
36031,32,9,34,0,4,12,47,6,45,42,23,3,0,43,27,7,48,29,1,8,35,12,39,40,5,16,31,43,40,34,40,7,130.48,25.26,762,1.43,1.13,0.61,3.92,2.54,4.04,2.0,2.24,2.72,4.82,2.36,4.7,4.52,3.38,2.18,2.0,4.58,3.62,2.42
104328,41,35,6,10,49,26,1,1,20,17,15,32,47,22,40,39,22,37,48,4,36,9,48,32,9,5,31,13,33,24,41,33,101.45,27.21,826,0.94,1.12,1.33,4.46,4.1,2.36,2.6,4.94,3.56,2.06,2.06,3.2,3.02,2.9,3.92,4.82,3.32,4.4,4.34
71768,4,21,23,48,50,49,48,23,31,30,31,35,31,42,15,16,12,14,47,3,2,42,49,10,32,36,50,1,2,42,20,25,98.32,28.91,884,1.09,0.87,0.73,2.24,3.26,3.38,4.88,5.0,4.94,4.88,3.38,3.86,3.8,3.86,4.1,3.86,4.52,2.9,2.96
58973,36,31,40,39,48,7,8,43,32,22,9,47,18,19,12,19,0,48,4,43,49,2,29,47,20,33,26,9,25,16,18,37,137.66,26.26,836,0.84,0.91,0.74,4.16,3.86,4.4,4.34,4.88,2.42,2.48,4.58,3.92,3.32,2.54,4.82,3.08,3.14,2.72,3.14
858690,46,50,15,8,20,39,25,18,34,45,12,10,34,22,16,13,12,41,12,27,9,34,7,21,32,11,41,28,5,11,47,21,154.05,25.67,766,1.18,1.3,1.37,4.76,5.0,2.9,2.48,3.2,4.34,3.5,3.08,4.04,4.7,2.72,2.6,4.04,3.32,2.96,2.78
460825,21,34,32,1,49,5,38,37,49,40,38,14,42,1,6,25,15,17,6,14,22,39,46,41,20,0,0,27,7,24,40,18,95.46,25.02,768,0.65,0.69,0.95,3.26,4.04,3.92,2.06,4.94,2.3,4.28,4.22,4.94,4.4,4.28,2.84,4.52,2.06,2.36,3.5
608067,44,25,44,2,14,48,44,23,1,12,43,20,48,11,33,6,41,23,0,14,21,26,27,18,0,32,13,41,6,49,1,32,96.72,24.9,762,0.64,0.94,0.52,4.64,3.5,4.64,2.12,2.84,4.88,4.64,3.38,2.06,2.72,4.58,3.2,4.88,2.66,3.98,2.36
399060,3,24,32,39,20,35,4,23,32,0,46,23,39,40,31,30,1,45,23,20,20,37,50,1,13,13,5,23,2,14,44,17,108.52,24.26,749,1.37,1.25,0.83,2.18,3.44,3.92,4.34,3.2,4.1,2.24,3.38,3.92,2.0,4.76,3.38,4.34,4.4,3.86,3.8
210210,43,21,16,11,43,45,43,31,45,49,36,43,44,12,26,47,24,17,7,29,44,9,30,50,18,33,20,19,11,10,50,37,122.28,31.8,963,0.76,1.29,1.43,4.58,3.26,2.96,2.66,4.58,4.7,4.58,3.86,4.7,4.94,4.16,4.58,4.64,2.72,3.56,4.82
420124,39,1,45,34,9,7,41,9,35,2,24,9,46,13,6,14,30,49,40,10,20,42,41,45,28,40,46,3,21,40,38,0,81.2,26.53,827,0.9,0.52,1.31,4.34,2.06,4.7,4.04,2.54,2.42,4.46,2.54,4.1,2.12,3.44,2.54,4.76,2.78,2.36,2.84
970861,30,33,3,9,46,13,50,35,8,24,30,46,16,2,18,42,15,37,2,31,18,25,49,26,45,12,1,7,6,29,5,46,149.55,24.58,759,0.94,0.85,1.38,3.8,3.98,2.18,2.54,4.76,2.78,5.0,4.1,2.48,3.44,3.8,4.76,2.96,2.12,3.08,4.52
271596,16,28,6,29,29,34,37,3,43,13,4,11,32,43,43,49,45,40,6,1,12,14,19,21,45,30,31,46,22,3,41,6,117.49,26.53,802,1.2,0.84,1.38,2.96,3.68,2.36,3.74,3.74,4.04,4.22,2.18,4.58,2.78,2.24,2.66,3.92,4.58,4.58,4.94
586092,23,21,47,44,33,7,14,8,31,13,6,27,3,45,20,44,32,8,47,11,46,13,6,15,45,23,47,15,10,47,4,45,80.56,26.27,800,1.1,0.5,1.11,3.38,3.26,4.82,4.64,3.98,2.42,2.84,2.48,3.86,2.78,2.36,3.62,2.18,4.7,3.2,4.64
95088,27,33,41,9,8,46,1,37,23,48,41,31,2,28,34,23,29,14,21,40,39,24,20,29,44,10,15,50,32,46,24,44,141.72,29.07,913,0.52,1.36,1.09,3.62,3.98,4.46,2.54,2.48,4.76,2.06,4.22,3.38,4.88,4.46,3.86,2.12,3.68,4.04,3.38
751486,39,49,20,28,5,11,35,11,8,25,41,13,0,22,18,38,14,8,4,46,21,8,23,40,12,44,6,39,3,40,45,19,96.51,24.92,735,0.8,1.42,0.5,4.34,4.94,3.2,3.68,2.3,2.66,4.1,2.66,2.48,3.5,4.46,2.78,2.0,3.32,3.08,4.28
403341,40,2,42,37,23,7,46,50,42,14,37,7,45,23,24,17,17,46,50,16,38,18,41,19,28,14,1,43,16,25,24,49,119.4,28.8,901,1.2,1.35,1.5,4.4,2.12,4.52,4.22,3.38,2.42,4.76,5.0,4.52,2.84,4.22,2.42,4.7,3.38,3.44,3.02
60109,6,39,4,4,16,38,31,26,9,9,39,29,24,25,28,40,50,6,27,7,21,9,36,42,30,44,25,46,46,9,50,50,125.14,27.27,865,0.72,0.94,0.95,2.36,4.34,2.24,2.24,2.96,4.28,3.86,3.56,2.54,2.54,4.34,3.74,3.44,3.5,3.68,4.4
636853,29,36,25,50,46,8,12,6,37,4,28,12,20,34,40,23,32,3,2,17,20,8,24,26,19,21,13,25,17,34,25,18,126.68,24.23,714,0.5,1.32,0.93,3.74,4.16,3.5,5.0,4.76,2.48,2.72,2.36,4.22,2.24,3.68,2.72,3.2,4.04,4.4,3.38
285774,43,48,9,48,3,36,3,40,20,0,28,0,8,37,6,39,11,27,11,50,6,9,30,34,1,25,48,31,34,39,3,49,91.35,25.43,776,1.39,0.97,1.27,4.58,4.88,2.54,4.88,2.18,4.16,2.18,4.4,3.2,2.0,3.68,2.0,2.48,4.22,2.36,4.34
5812,35,24,6,47,17,49,14,8,25,16,7,1,38,21,34,47,49,2,44,16,12,32,6,28,9,39,38,9,5,44,1,28,134.44,24.74,751,0.9,0.82,1.08,4.1,3.44,2.36,4.82,3.02,4.94,2.84,2.48,3.5,2.96,2.42,2.06,4.28,3.26,4.04,4.82
862207,28,48,37,1,12,3,9,43,49,34,39,9,2,4,4,18,43,46,34,27,44,11,50,6,5,17,18,0,35,25,30,35,81.05,25.1,766,0.73,0.88,1.48,3.68,4.88,4.22,2.06,2.72,2.18,2.54,4.58,4.94,4.04,4.34,2.54,2.12,2.24,2.24,3.08
464203,28,14,45,15,49,49,45,25,29,18,0,29,20,42,32,8,50,26,22,40,46,6,30,31,50,29,33,1,41,28,5,5,152.03,29.82,891,0.64,1.16,1.0,3.68,2.84,4.7,2.9,4.94,4.94,4.7,3.5,3.74,3.08,2.0,3.74,3.2,4.52,3.92,2.48
380431,23,24,28,8,48,13,49,26,10,34,29,6,14,38,23,12,44,14,14,31,31,40,11,47,47,35,9,34,11,10,0,24,102.86,26.48,787,1.38,1.0,1.42,3.38,3.44,3.68,2.48,4.88,2.78,4.94,3.56,2.6,4.04,3.74,2.36,2.84,4.28,3.38,2.72
737029,0,36,31,37,24,9,37,26,47,45,6,7,43,9,44,30,20,7,4,24,47,35,0,32,43,32,35,8,11,27,33,39,140.6,27.11,828,0.58,0.79,0.92,2.0,4.16,3.86,4.22,3.44,2.54,4.22,3.56,4.82,4.7,2.36,2.42,4.58,2.54,4.64,3.8
540120,6,46,14,26,19,39,19,48,9,8,4,45,40,46,12,32,7,40,4,21,1,16,11,38,3,34,36,15,37,43,26,7,81.93,24.89,752,0.71,1.42,0.96,2.36,4.76,2.84,3.56,3.14,4.34,3.14,4.88,2.54,2.48,2.24,4.7,4.4,4.76,2.72,3.92
614072,41,42,4,10,4,32,32,29,42,16,12,12,23,42,24,31,28,43,5,8,25,0,46,13,4,4,42,36,40,36,43,32,98.21,25.41,801,1.28,0.96,0.61,4.46,4.52,2.24,2.6,2.24,3.92,3.92,3.74,4.52,2.96,2.72,2.72,3.38,4.52,3.44,3.86
512280,48,42,9,16,46,36,14,40,6,48,24,6,24,44,22,8,21,2,26,44,16,39,47,45,25,44,43,21,43,30,32,31,86.69,31.22,942,0.93,0.62,1.25,4.88,4.52,2.54,2.96,4.76,4.16,2.84,4.4,2.36,4.88,3.44,2.36,3.44,4.64,3.32,2.48
664825,50,11,17,31,24,43,22,35,27,10,16,13,5,16,13,15,5,32,44,37,20,30,34,25,0,16,50,11,9,12,6,31,111.23,22.39,710,1.3,0.95,1.39,5.0,2.66,3.02,3.86,3.44,4.58,3.32,4.1,3.62,2.6,2.96,2.78,2.3,2.96,2.78,2.9
831994,33,0,5,18,11,15,15,22,10,15,29,18,34,37,45,41,44,8,29,1,29,3,13,45,6,31,1,1,22,23,2,42,117.74,21.9,648,0.53,0.76,1.22,3.98,2.0,2.3,3.08,2.66,2.9,2.9,3.32,2.6,2.9,3.74,3.08,4.04,4.22,4.7,4.46
973158,15,26,25,49,22,23,26,34,8,19,18,30,25,39,8,26,3,5,26,47,9,20,8,33,7,37,33,41,40,46,3,35,141.03,24.94,786,1.45,0.67,1.17,2.9,3.56,3.5,4.94,3.32,3.38,3.56,4.04,2.48,3.14,3.08,3.8,3.5,4.34,2.48,3.56
15062,35,25,50,17,21,22,7,21,15,2,20,46,26,33,14,25,9,20,25,48,33,23,11,30,24,49,15,11,7,35,46,29,147.66,26.05,794,0.63,1.08,0.98,4.1,3.5,5.0,3.02,3.26,3.32,2.42,3.26,2.9,2.12,3.2,4.76,3.56,3.98,2.84,3.5
442408,15,10,20,32,20,40,21,22,37,20,42,49,20,18,25,8,35,24,38,7,27,35,4,25,45,5,49,1,15,22,13,14,143.29,24.77,758,1.39,0.93,0.61,2.9,2.6,3.2,3.92,3.2,4.4,3.26,3.32,4.22,3.2,4.52,4.94,3.2,3.08,3.5,2.48
235829,18,4,2,15,2,2,49,21,2,14,40,29,31,14,31,30,36,28,33,38,49,3,13,39,49,23,50,11,19,7,0,12,136.05,23.19,714,1.47,0.62,0.77,3.08,2.24,2.12,2.9,2.12,2.12,4.94,3.26,2.12,2.84,4.4,3.74,3.86,2.84,3.86,3.8
742051,45,28,17,34,48,29,2,2,25,45,20,46,14,29,15,9,6,41,37,30,16,8,5,30,14,40,46,44,49,32,30,41,131.52,28.86,877,1.34,1.12,0.68,4.7,3.68,3.02,4.04,4.88,3.74,2.12,2.12,3.5,4.7,3.2,4.76,2.84,3.74,2.9,2.54
829325,22,2,33,20,43,22,32,11,30,20,21,1,25,50,38,23,18,7,26,6,25,18,23,37,21,50,3,19,38,22,11,38,120.45,25.06,755,1.2,0.68,1.27,3.32,2.12,3.98,3.2,4.58,3.32,3.92,2.66,3.8,3.2,3.26,2.06,3.5,5.0,4.28,3.38
592868,17,34,49,8,27,2,1,29,2,27,36,41,31,22,23,1,8,4,3,37,28,6,38,33,43,26,6,22,49,36,3,24,95.07,24.29,716,1.24,1.1,0.73,3.02,4.04,4.94,2.48,3.62,2.12,2.06,3.74,2.12,3.62,4.16,4.46,3.86,3.32,3.38,2.06
308698,46,49,18,40,6,9,7,11,45,44,14,44,17,15,24,45,28,26,1,45,18,29,31,25,10,6,27,47,44,48,20,44,150.92,28.1,883,0.72,0.88,0.54,4.76,4.94,3.08,4.4,2.36,2.54,2.42,2.66,4.7,4.64,2.84,4.64,3.02,2.9,3.44,4.7
864880,25,47,22,25,16,22,16,38,3,30,4,42,34,32,29,30,31,12,24,23,41,11,3,16,46,38,43,34,5,35,38,34,99.36,27.83,849,0.91,0.9,1.38,3.5,4.82,3.32,3.5,2.96,3.32,2.96,4.28,2.18,3.8,2.24,4.52,4.04,3.92,3.74,3.8
90698,47,45,5,5,2,28,15,48,28,33,36,2,26,15,28,14,4,20,45,23,40,12,30,35,15,37,48,10,0,1,48,22,133.65,24.15,767,1.18,1.27,1.26,4.82,4.7,2.3,2.3,2.12,3.68,2.9,4.88,3.68,3.98,4.16,2.12,3.56,2.9,3.68,2.84
967832,16,2,42,30,21,46,27,34,21,1,39,9,28,35,41,10,50,40,38,16,24,4,2,20,43,42,37,41,32,25,26,16,126.76,26.96,858,0.74,0.98,1.11,2.96,2.12,4.52,3.8,3.26,4.76,3.62,4.04,3.26,2.06,4.34,2.54,3.68,4.1,4.46,2.6
364221,17,50,24,37,21,32,27,40,37,35,26,39,8,20,14,35,5,11,48,19,0,17,13,32,18,23,11,21,27,29,44,19,105.58,26.27,799,1.25,0.87,1.16,3.02,5.0,3.44,4.22,3.26,3.92,3.62,4.4,4.22,4.1,3.56,4.34,2.48,3.2,2.84,4.1
